neighborhood,ring,vertex,lat,lon
Biedeman,0,68,-75.0808887451223,39.9596860691014
Biedeman,0,69,-75.0812867450427,39.9592990690383
Biedeman,0,70,-75.0820697462202,39.9585360691357
Biedeman,0,71,-75.0824797453416,39.9581660686008
Biedeman,0,72,-75.0836407457514,39.9571200694841
Biedeman,0,73,-75.0837907457385,39.9569850689958
Biedeman,0,74,-75.0842907469641,39.9565990687995
Biedeman,0,75,-75.0856047459536,39.9555850689158
Biedeman,0,76,-75.0858017464021,39.9554330679865
Biedeman,0,77,-75.0861887461431,39.9551130688032
Biedeman,0,78,-75.0862707470336,39.9550460683397
Biedeman,0,79,-75.0867627472838,39.9546390681256
Biedeman,0,80,-75.0872137475773,39.9541290675646
Biedeman,0,81,-75.0881817468196,39.9531850685512
Liberty Park,0,0,-75.115384753426,39.9270470616039
Liberty Park,0,1,-75.1139537545431,39.9283860615668
Liberty Park,0,2,-75.1131397528785,39.9291490621484
Liberty Park,0,3,-75.1126407540066,39.9291860620177
Liberty Park,0,4,-75.111916753189,39.9292520623172
Liberty Park,0,5,-75.1113937533387,39.9292850618288
Liberty Park,0,6,-75.1104177523225,39.9293460628234
Liberty Park,0,7,-75.1096497517084,39.9294050623027
Liberty Park,0,8,-75.1076867523148,39.9295580625575
Liberty Park,0,9,-75.1075337516976,39.9291940624293
Liberty Park,0,10,-75.107399752387,39.9289200625775
Liberty Park,0,11,-75.1070517506068,39.9282380625544
Liberty Park,0,12,-75.1068367523173,39.9277780629046
Liberty Park,0,13,-75.1067627515134,39.9276390622344
Liberty Park,0,14,-75.1063797515026,39.9269320619384
Liberty Park,0,15,-75.1061407510382,39.9264740616823
Liberty Park,0,16,-75.1060667505736,39.9263310622653
Liberty Park,0,17,-75.1058247511159,39.9258410620441
Liberty Park,0,18,-75.1057197509731,39.9256300620161
Liberty Park,0,19,-75.1055037511159,39.9252060618711
Liberty Park,0,20,-75.105365751423,39.9249410622448
Liberty Park,0,21,-75.1052527508437,39.9247240615425
Liberty Park,0,22,-75.1050327501767,39.9242850619362
Liberty Park,0,23,-75.1048407507187,39.9238810616346
Liberty Park,0,24,-75.105558750839,39.9236660607978
Liberty Park,0,25,-75.106153751681,39.9234850618997
Liberty Park,0,26,-75.1063847517322,39.9234130607226
Liberty Park,0,27,-75.1066517506097,39.9233920609716
Liberty Park,0,28,-75.1069037509225,39.9233950611507
Liberty Park,0,29,-75.1070517503236,39.9233970614983
Liberty Park,0,30,-75.1079427522971,39.9234020615298
Liberty Park,0,31,-75.1088447517387,39.9233960614107
Liberty Park,0,32,-75.1096697524207,39.9234200610943
Liberty Park,0,33,-75.110645751957,39.9234230612881
Liberty Park,0,34,-75.1123827528982,39.9234360606845
Liberty Park,0,35,-75.1132087535056,39.9234430613704
Liberty Park,0,36,-75.1140907536481,39.9234470619668
Liberty Park,0,37,-75.1149837539681,39.9234480611865
Liberty Park,0,38,-75.1156097540442,39.9234510604772
Liberty Park,0,39,-75.1160577549187,39.9234550608039
Liberty Park,0,40,-75.1161647535739,39.9234550606064
Liberty Park,0,41,-75.1163167541985,39.9234570611896
Liberty Park,0,42,-75.1167327544241,39.9234600607741
Liberty Park,0,43,-75.1166627549429,39.9243740610929
Liberty Park,0,44,-75.1166407547046,39.9247480611937
Liberty Park,0,45,-75.1166337543301,39.9247900617206
Liberty Park,0,46,-75.1165547545898,39.9252530616602
Liberty Park,0,47,-75.116475753776,39.9255330619698
Liberty Park,0,48,-75.1163927549312,39.9257020616545
